IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childC	familyX	founder27	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687430	0.4601	1.9701	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder28	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688170	0.6372	2.1094	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder29	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.687035	0.0284	1.5190	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder2	OT	0	0.0000	1.0000	0.0000	0.5000	-1	0.802103	1.0000	NA	8	no_deam	PO	1	plink_Lcmlkin
childC	familyX	founder3	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688492	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688125	0.9844	2.8269	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder5	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.690267	0.1581	1.7260	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder6	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689057	0.9558	2.6182	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder7	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.689545	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder8	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688055	0.1245	1.6892	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childC	familyX	founder9	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.688487	0.5795	2.0615	8	no_deam	Unrelated	Unrelated	plink_Lcmlkin
childD	familyX	childE	OT	0	0.7644	0.2356	0.0000	0.1178	-1	0.716247	0.7427	2.2097	8	no_deam	FC	3	plink_Lcmlkin
childD	familyX	childF	OT	0	0.7627	0.2373	0.0000	0.1186	-1	0.715824	0.8296	2.3167	8	no_deam	FC	3	plink_Lcmlkin
childD	familyX	childG	OT	0	0.8804	0.1196	0.0000	0.0598	-1	0.702984	0.9558	2.6182	8	no_deam	HC	4	plink_Lcmlkin
childD	familyX	childH	OT	0	0.5418	0.4517	0.0065	0.2323	-1	0.746002	0.9999	3.7381	8	no_deam	HS/FCOR	plink_Lcmlkin
childD	familyX	childI	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.695327	0.0284	1.5190	8	no_deam	FCOR	plink_Lcmlkin
childD	familyX	founder0	OT	0	0.5186	0.4814	0.0000	0.2407	-1	0.745467	1.0000	4.1026	8	no_deam	GP	2	plink_Lcmlkin
