a	FID2	b	RT	EZ	J9	J8	J7	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program	RMSE
childB	familyX	founder0	OT	0	0.177	0.8069	0.0161	0.4196	-1	0.791346	1.0	10.7059	2	deam	PO	1	plink	0.15152097764556124
childB	familyX	founder1	OT	0	0.1813	0.8071	0.0116	0.4151	-1	0.789986	1.0	11.4375	2	deam	PO	1	plink	0.15298655714364795
childC	familyX	childG	OT	0	0.1761	0.8044	0.0195	0.4217	-1	0.792102	1.0	14.3077	2	deam	PO	1	plink	0.15237106024439157
childC	familyX	founder1	OT	0	0.181	0.7979	0.0211	0.4201	-1	0.791856	1.0	12.2667	2	deam	PO	1	plink	0.1571099614919436
childC	familyX	founder2	OT	0	0.1788	0.8057	0.0155	0.4183	-1	0.791015	1.0	12.2667	2	deam	PO	1	plink	0.15271125258692192
childD	familyX	founder3	OT	0	0.1863	0.7968	0.0169	0.4153	-1	0.790436	1.0	10.0556	2	deam	PO	1	plink	0.15946111333697213
childE	familyX	founder4	OT	0	0.1805	0.7959	0.0236	0.4215	-1	0.792377	1.0	9.4737	2	deam	PO	1	plink	0.1578966117432543
childF	familyX	founder4	OT	0	0.1861	0.7929	0.0209	0.4174	-1	0.791238	1.0	12.2667	2	deam	PO	1	plink	0.1612042493236453
childG	familyX	founder5	OT	0	0.1857	0.7956	0.0187	0.4165	-1	0.790872	1.0	11.4375	2	deam	PO	1	plink	0.159805652799476
childA	familyX	childD	OT	0	0.0	1.0	0.0	0.5	-1	0.801833	1.0		10	deam	PO	1	plink	0.0
childA	familyX	childH	OT	0	0.0001	0.8863	0.1135	0.5567	-1	0.828169	1.0		10	deam	PO	1	plink	0.09275406549939828
childA	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.804436	1.0		10	deam	PO	1	plink	0.0
childA	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.80351	1.0		10	deam	PO	1	plink	0.0
childB	familyX	childE	OT	0	0.0	1.0	0.0	0.5	-1	0.803755	1.0		10	deam	PO	1	plink	0.0
childB	familyX	childF	OT	0	0.0	1.0	0.0	0.5	-1	0.80372	1.0		10	deam	PO	1	plink	0.0
childB	familyX	founder0	OT	0	0.0	1.0	0.0	0.5	-1	0.803943	1.0		10	deam	PO	1	plink	0.0
childB	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.802907	1.0		10	deam	PO	1	plink	0.0
childC	familyX	childG	OT	0	0.0	1.0	0.0	0.5	-1	0.804496	1.0		10	deam	PO	1	plink	0.0
childC	familyX	founder1	OT	0	0.0	1.0	0.0	0.5	-1	0.804231	1.0		10	deam	PO	1	plink	0.0
childC	familyX	founder2	OT	0	0.0	1.0	0.0	0.5	-1	0.8031	1.0		10	deam	PO	1	plink	0.0
