IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO	cov	deamination	kinship	degree	program
childF	familyX	founder0	OT	0	0.5003	0.4997	0.0000	0.2499	-1	0.746600	1.0000	4.8529	20	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.4999	0.5001	0.0000	0.2501	-1	0.745995	1.0000	4.6857	20	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5038	0.4962	0.0000	0.2481	-1	0.747155	1.0000	5.4194	20	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5148	0.4852	0.0000	0.2426	-1	0.745860	1.0000	7.6522	20	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6781	0.2834	0.0385	0.1802	-1	0.736790	1.0000	4.3784	20	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.7599	0.0163	0.2238	0.2320	-1	0.774699	0.0874	1.6400	2	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.8948	0.0276	0.0776	0.0914	-1	0.733168	0.2907	1.8429	2	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.8791	0.0398	0.0812	0.1010	-1	0.735535	0.5795	2.0615	2	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.8643	0.0619	0.0738	0.1048	-1	0.735818	0.5000	2.0000	2	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.8759	0.0473	0.0768	0.1005	-1	0.735091	0.3442	1.8841	2	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.8747	0.0537	0.0716	0.0984	-1	0.734258	0.2907	1.8429	2	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.8955	0.0225	0.0820	0.0932	-1	0.733880	0.0199	1.4875	2	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.8850	0.0320	0.0831	0.0990	-1	0.735232	0.0962	1.6533	2	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.8891	0.0312	0.0797	0.0953	-1	0.734163	0.9558	2.6182	2	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	1.0000	0.0000	0.0000	0.0000	-1	0.729842	0.0730	1.6184	2	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.4351	0.3979	0.1670	0.3660	-1	0.789285	1.0000	4.3784	10	no_deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5127	0.4873	0.0000	0.2436	-1	0.746127	1.0000	4.1026	10	no_deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5200	0.4800	0.0000	0.2400	-1	0.746810	0.9989	3.3261	10	no_deam	GP	2	plink
childE	familyX	founder0	OT	0	0.5000	0.5000	0.0000	0.2500	-1	0.747397	1.0000	4.3784	10	no_deam	GP	2	plink
childE	familyX	founder1	OT	0	0.5020	0.4980	0.0000	0.2490	-1	0.746755	1.0000	5.4194	10	no_deam	GP	2	plink
childF	familyX	founder0	OT	0	0.5028	0.4972	0.0000	0.2486	-1	0.746492	1.0000	4.6857	10	no_deam	GP	2	plink
childF	familyX	founder1	OT	0	0.5036	0.4964	0.0000	0.2482	-1	0.745880	1.0000	4.6857	10	no_deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5072	0.4928	0.0000	0.2464	-1	0.746905	1.0000	5.2188	10	no_deam	GP	2	plink
childG	familyX	founder2	OT	0	0.5178	0.4822	0.0000	0.2411	-1	0.745760	1.0000	7.6522	10	no_deam	GP	2	plink
childH	familyX	founder4	OT	0	0.6827	0.2773	0.0400	0.1786	-1	0.736590	1.0000	4.3784	10	no_deam	GP	2	plink
childB	familyX	childI	OT	0	0.4299	0.4036	0.1665	0.3683	-1	0.789639	1.0000	4.5278	8	deam	GP	2	plink
childD	familyX	founder0	OT	0	0.5087	0.4913	0.0000	0.2456	-1	0.746725	1.0000	4.3784	8	deam	GP	2	plink
childD	familyX	founder1	OT	0	0.5148	0.4852	0.0000	0.2426	-1	0.747553	0.9996	3.5227	8	deam	GP	2	plink
childE	familyX	founder0	OT	0	0.4955	0.5045	0.0000	0.2522	-1	0.748154	1.0000	4.3784	8	deam	GP	2	plink
childE	familyX	founder1	OT	0	0.4975	0.5025	0.0000	0.2513	-1	0.747411	1.0000	5.0303	8	deam	GP	2	plink
childF	familyX	founder0	OT	0	0.4981	0.5019	0.0000	0.2509	-1	0.747002	1.0000	4.8529	8	deam	GP	2	plink
childF	familyX	founder1	OT	0	0.4979	0.5021	0.0000	0.2511	-1	0.746393	1.0000	4.5278	8	deam	GP	2	plink
childG	familyX	founder1	OT	0	0.5002	0.4998	0.0000	0.2499	-1	0.747615	1.0000	5.4194	8	deam	GP	2	plink
