a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childH	0.081	0.839	0.08	1	no_deam	PO	1	lcmlkin	0.1138449237632784
childA	founder0	0.199	0.796	0.005	1	no_deam	PO	1	lcmlkin	0.1645620450367175
childA	founder1	0.184	0.811	0.005	1	no_deam	PO	1	lcmlkin	0.1523176505421044
childB	childE	0.271	0.723	0.006	1	no_deam	PO	1	lcmlkin	0.2237602884040568
childB	childF	0.25	0.743	0.007	1	no_deam	PO	1	lcmlkin	0.207041058729905
childB	founder0	0.202	0.791	0.007	1	no_deam	PO	1	lcmlkin	0.1678630394101095
childB	founder1	0.213	0.781	0.006	1	no_deam	PO	1	lcmlkin	0.1764142851358698
childC	childG	0.148	0.844	0.008	1	no_deam	PO	1	lcmlkin	0.124236333923159
childC	founder1	0.149	0.846	0.005	1	no_deam	PO	1	lcmlkin	0.1237497474744898
childC	founder2	0.083	0.912	0.005	1	no_deam	PO	1	lcmlkin	0.0698999284692051
