a	b	J9	J8	J7	cov	deamination	kinship	degree	program	RMSE
childA	childF	0.543772	0.456188	4e-05	20	deam	A	2	ngsrelateWithRealFreq	0.0357560294589131
childB	childD	0.542748	0.457212	2.2e-05	20	deam	A	2	ngsrelateWithRealFreq	0.0349199319014227
childA	childE	0.544815	0.454967	0.000213	2	deam	A	2	ngsrelateWithRealFreq	0.0366806065153417
childA	childF	0.550966	0.448978	5.3e-05	2	deam	A	2	ngsrelateWithRealFreq	0.0416364441685406
childB	childD	0.549005	0.450683	0.00031	2	deam	A	2	ngsrelateWithRealFreq	0.0401403895264275
childA	childE	0.530387	0.469487	0.000126	10	deam	A	2	ngsrelateWithRealFreq	0.0248624805278958
childA	childF	0.544178	0.455791	2.1e-05	10	deam	A	2	ngsrelateWithRealFreq	0.0360838459055203
childB	childD	0.542328	0.457614	5.8e-05	10	deam	A	2	ngsrelateWithRealFreq	0.0345843699957076
childA	childE	0.52997	0.469961	6.6e-05	8	no_deam	A	2	ngsrelateWithRealFreq	0.0244986174916055
childA	childF	0.545301	0.454662	3.6e-05	8	no_deam	A	2	ngsrelateWithRealFreq	0.0370032257197486
childB	childD	0.544389	0.45542	0.000189	8	no_deam	A	2	ngsrelateWithRealFreq	0.03632168976429
childA	childE	0.532726	0.46716	0.000109	4	no_deam	A	2	ngsrelateWithRealFreq	0.0267673218495986
childA	childF	0.543947	0.456	5.2e-05	4	no_deam	A	2	ngsrelateWithRealFreq	0.0359042314729986
childB	childD	0.546901	0.452959	0.00014	4	no_deam	A	2	ngsrelateWithRealFreq	0.0383517886675445
childA	childE	0.555989	0.443999	1e-06	1	no_deam	A	2	ngsrelateWithRealFreq	0.0457197263151621
childA	childF	0.576225	0.42377	2e-06	1	no_deam	A	2	ngsrelateWithRealFreq	0.0622394931668524
childB	childD	0.572699	0.422159	0.005132	1	no_deam	A	2	ngsrelateWithRealFreq	0.0615648798856404
childA	childE	0.530394	0.469536	7e-05	20	no_deam	A	2	ngsrelateWithRealFreq	0.0248452237663499
childA	childF	0.543666	0.45632	1.2e-05	20	no_deam	A	2	ngsrelateWithRealFreq	0.0356588563099454
childB	childD	0.542834	0.457081	8.5e-05	20	no_deam	A	2	ngsrelateWithRealFreq	0.0350085672466993
childA	childE	0.533436	0.466494	6.3e-05	2	no_deam	A	2	ngsrelateWithRealFreq	0.0273289962067154
childA	childF	0.551011	0.448984	2e-06	2	no_deam	A	2	ngsrelateWithRealFreq	0.0416523483971792
childB	childD	0.553535	0.445777	0.000688	2	no_deam	A	2	ngsrelateWithRealFreq	0.0439947091440171
childA	childE	0.530321	0.46966	1.8e-05	10	no_deam	A	2	ngsrelateWithRealFreq	0.0247647529431111
childA	childF	0.543662	0.456321	1.3e-05	10	no_deam	A	2	ngsrelateWithRealFreq	0.0356568154027623
childB	childD	0.542665	0.457185	0.00015	10	no_deam	A	2	ngsrelateWithRealFreq	0.0348972250568245
childA	childE	0.530887	0.468975	0.000129	8	deam	A	2	ngsrelateWithRealFreq	0.0252756406776696
childA	childF	0.544899	0.455072	3e-05	8	deam	A	2	ngsrelateWithRealFreq	0.0366717251889427
childB	childD	0.54276	0.457136	0.000104	8	deam	A	2	ngsrelateWithRealFreq	0.0349559289773089
childA	childE	0.532886	0.467045	6.7e-05	4	deam	A	2	ngsrelateWithRealFreq	0.0268795182868542
childA	childF	0.545975	0.453947	7.5e-05	4	deam	A	2	ngsrelateWithRealFreq	0.0375703121227386
childB	childD	0.543928	0.455805	0.000262	4	deam	A	2	ngsrelateWithRealFreq	0.0359765472356644
childA	childE	0.548477	0.451391	0.000128	1	deam	A	2	ngsrelateWithRealFreq	0.0396352990569433
childA	childF	0.552218	0.447622	0.000156	1	deam	A	2	ngsrelateWithRealFreq	0.042701283134507
childB	childD	0.549923	0.450036	3.6e-05	1	deam	A	2	ngsrelateWithRealFreq	0.0407787057216549
childA	childE	0.530481	0.469495	2.1e-05	20	deam	A	2	ngsrelateWithRealFreq	0.0248974351222503
childA	childF	0.543975	0.456012	1.1e-05	20	deam	A	2	ngsrelateWithRealFreq	0.0359107453278263
childB	childD	0.542906	0.457008	8.6e-05	20	deam	A	2	ngsrelateWithRealFreq	0.0350677643807908
childA	childE	0.54255	0.457133	0.000313	2	deam	A	2	ngsrelateWithRealFreq	0.0348720526018567
childA	childF	0.551353	0.448538	9.7e-05	2	deam	A	2	ngsrelateWithRealFreq	0.0419741089323724
childB	childD	0.550962	0.448518	0.000519	2	deam	A	2	ngsrelateWithRealFreq	0.0418242000481379
childA	childE	0.530611	0.469324	6.4e-05	10	deam	A	2	ngsrelateWithRealFreq	0.0250203543340217
childA	childF	0.544717	0.45527	1e-05	10	deam	A	2	ngsrelateWithRealFreq	0.0365165856792042
childB	childD	0.542647	0.457211	0.000142	10	deam	A	2	ngsrelateWithRealFreq	0.034879245471579
